F. Emision,Descripción,category,subcategory,volume,weight,fragance,other,Stock Actual,P. Unitario
01/11/2023,FRAGANCIA 30 ML SANDALO,AROMATIZADORES,FRAGANCIAS,30 ML,,SANDALO,,4,65
01/11/2023,FRAGANCIA 30 ML SERENIDAD,AROMATIZADORES,FRAGANCIAS,30 ML,,SERENIDAD,,2,55.25
25/10/2024,FRAGANCIA 10 ML TE BLANCO,AROMATIZADORES,FRAGANCIAS,10 ML,,TE BLANCO,,1,39.9
25/10/2024,FRAGANCIA 20 ML TE BLANCO,AROMATIZADORES,FRAGANCIAS,20 ML,,TE BLANCO,,2,49.9
25/10/2024,FRAGANCIA 30 ML TE BLANCO,AROMATIZADORES,FRAGANCIAS,30 ML,,TE BLANCO,,1,65
01/11/2023,FRAGANCIA 10 ML TÉ VERBENA,AROMATIZADORES,FRAGANCIAS,10 ML,,TÉ VERBENA,,0,39.9
01/11/2023,FRAGANCIA 20 ML TÉ VERBENA,AROMATIZADORES,FRAGANCIAS,20 ML,,TÉ VERBENA,,2,49.9
01/11/2023,FRAGANCIA 30 ML TÉ VERBENA,AROMATIZADORES,FRAGANCIAS,30 ML,,TÉ VERBENA,,3,65
01/11/2023,FRAGANCIA 10 ML TE VERDE,AROMATIZADORES,FRAGANCIAS,10 ML,,TE VERDE,,0,39.9
01/11/2023,FRAGANCIA 20 ML TE VERDE,AROMATIZADORES,FRAGANCIAS,20 ML,,TE VERDE,,1,49.9
15/11/2023,FRAGANCIA 30 ML TE VERDE,AROMATIZADORES,FRAGANCIAS,30 ML,,TE VERDE,,5,65
01/11/2023,FRAGANCIA 30 ML TRANQ.,AROMATIZADORES,FRAGANCIAS,30 ML,,TRANQUILIDAD,,7,65
01/11/2023,FRAGANCIA 10 ML VAINILLA,AROMATIZADORES,FRAGANCIAS,10 ML,,VAINILLA,,0,39.9
01/11/2023,FRAGANCIA 20 ML VAINILLA,AROMATIZADORES,FRAGANCIAS,20 ML,,VAINILLA,,5,49.9
01/11/2023,FRAGANCIA 30 ML VAINILLA,AROMATIZADORES,FRAGANCIAS,30 ML,,VAINILLA,,3,65
01/11/2023,FRAGANCIA DE REGALO 10 ML,AROMATIZADORES,FRAGANCIAS,10 ML,,,,0,1
01/11/2023,INCIENSO AMOR,AROMATIZADORES,INCIENSOS,,,AMOR,,7,29.9
01/11/2023,INCIENSO ARMONÍA,AROMATIZADORES,INCIENSOS,,,ARMONÍA,,4,29.9
01/11/2023,INCIENSO ENERGÍA,AROMATIZADORES,INCIENSOS,,,ENERGÍA,,5,29.9
01/11/2023,INCIENSO FELICIDAD,AROMATIZADORES,INCIENSOS,,,FELICIDAD,,3,29.9
01/11/2023,INCIENSO SERENIDAD,AROMATIZADORES,INCIENSOS,,,SERENIDAD,,5,25.42
01/11/2023,INCIENSO TRANQ.,AROMATIZADORES,INCIENSOS,,,TRANQUILIDAD,,5,29.9
01/11/2023,CONO POTPOURRI 100 GR ANTI STRESS,AROMATIZADORES,POTPOURRI,,100 GR,ANTI STRESS,,1,48.5
01/11/2023,CONO POTPOURRI 100 GR AROMAS DEL BOSQUE,AROMATIZADORES,POTPOURRI,,100 GR,AROMAS DEL BOSQUE,,0,48.5
01/11/2023,CONO POTPOURRI 100 GR ENERGIZANTE,AROMATIZADORES,POTPOURRI,,100 GR,ENERGIZANTE,,0,48.5
01/11/2023,CONO POTPOURRI 100 GR REFRESCANTE,AROMATIZADORES,POTPOURRI,,100 GR,REFRESCANTE,,1,48.5
01/11/2023,CONO POTPOURRI 100 GR RELAJANTE,AROMATIZADORES,POTPOURRI,,100 GR,RELAJANTE,,0,48.5
01/11/2023,CONO POTPOURRI 100 GR VAINILLA,AROMATIZADORES,POTPOURRI,,100 GR,VAINILLA,,1,48.5
01/11/2023,SPRAY AROMATIZADOR 550 ML AMOR,AROMATIZADORES,SPRAYS,550 ML,,AMOR,,0,65
01/11/2023,SPRAY AROMATIZADOR 550 ML ARMONÍA,AROMATIZADORES,SPRAYS,550 ML,,ARMONÍA,,18,65
01/11/2023,SPRAY AROMATIZADOR 550 ML COCO,AROMATIZADORES,SPRAYS,550 ML,,COCO,,2,65
01/11/2023,SPRAY AROMATIZADOR 550 ML ENERGÍA,AROMATIZADORES,SPRAYS,550 ML,,ENERGÍA,,17,65
