F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/10/2023,489,602070010070056,,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,30 ML,ORQUIDEA BLANCA,,16/11/2024,UNI,6,15/11/2024,60,16/11/2024,63,3,,65,195,01/10/2023,JARDIN DEL ZEN
01/10/2023,430,602070010040059,,J0028,FRAGANCIA 10 ML REFRESCANTE,10 ML,REFRESCANTE,,13/11/2023,UNI,3,,0,13/11/2023,1,2,,39.9,79.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,460,602070010050059,,J0028,FRAGANCIA 20 ML REFRESCANTE,20 ML,REFRESCANTE,,24/11/2023,UNI,1,24/11/2023,1,,0,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,490,602070010070059,,J0028,FRAGANCIA 30 ML REFRESCANTE,30 ML,REFRESCANTE,,,UNI,2,,0,,0,2,,65,130,01/10/2023,JARDIN DEL ZEN
01/10/2023,431,602070010040060,,J0028,FRAGANCIA 10 ML RELAJANTE,10 ML,RELAJANTE,,04/09/2024,UNI,2,04/09/2024,11,02/07/2024,10,3,,39.9,119.7,01/10/2023,JARDIN DEL ZEN
01/10/2023,461,602070010050060,,J0028,FRAGANCIA 20 ML RELAJANTE,20 ML,RELAJANTE,,16/04/2024,UNI,2,18/12/2023,4,16/04/2024,4,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
06/11/2023,491,602070010070060,,J0028,FRAGANCIA 30 ML RELAJANTE,30 ML,RELAJANTE,,08/10/2024,UNI,0,04/09/2024,10,08/10/2024,8,2,,65,130,,JARDIN DEL ZEN
01/10/2023,432,602070010040062,,J0028,FRAGANCIA 10 ML ROSAS,10 ML,ROSAS,,18/10/2024,UNI,1,18/10/2024,5,18/09/2024,5,1,,39.9,39.9,01/10/2023,JARDIN DEL ZEN
01/10/2023,462,602070010050062,,J0028,FRAGANCIA 20 ML ROSAS,20 ML,ROSAS,,28/10/2024,UNI,1,23/02/2024,3,28/10/2024,3,1,,49.9,49.9,01/10/2023,JARDIN DEL ZEN
01/10/2023,492,602070010070062,,J0028,FRAGANCIA 30 ML ROSAS,30 ML,ROSAS,,12/08/2024,UNI,3,12/08/2024,1,,0,4,,65,260,01/10/2023,JARDIN DEL ZEN
13/11/2023,433,602070010040064,,J0028,FRAGANCIA 10 ML SANDALO,10 ML,SANDALO,,15/11/2024,UNI,0,15/11/2024,8,09/11/2024,6,2,,39.9,79.8,,JARDIN DEL ZEN
01/10/2023,463,602070010050064,,J0028,FRAGANCIA 20 ML SANDALO,20 ML,SANDALO,,11/10/2024,UNI,2,13/05/2024,5,11/10/2024,5,2,,49.9,99.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,493,602070010070064,,J0028,FRAGANCIA 30 ML SANDALO,30 ML,SANDALO,,13/10/2024,UNI,3,20/08/2024,6,13/10/2024,4,5,,65,325,01/10/2023,JARDIN DEL ZEN
01/10/2023,494,602070010070065,,J0028,FRAGANCIA 30 ML SERENIDAD,30 ML,SERENIDAD,,15/11/2024,UNI,5,15/11/2024,68,13/11/2024,67,6,,65,390,01/10/2023,JARDIN DEL ZEN
25/10/2024,1100,602070010040084,,J0028,FRAGANCIA 10 ML TE BLANCO,10 ML,TE BLANCO,,15/11/2024,UNI,0,15/11/2024,2,,0,2,,39.9,79.8,,JARDIN DEL ZEN
25/10/2024,1101,602070010050084,,J0028,FRAGANCIA 20 ML TE BLANCO,20 ML,TE BLANCO,,25/10/2024,UNI,0,25/10/2024,2,,0,2,,49.9,99.8,,JARDIN DEL ZEN
